Unnamed: 0,Title,id,rating,genres,Release year,Overview
3963,Cube Zero,438,R,Mystery;Science Fiction;Thriller,2004,A young programmer whose job is to watch over the reality-warping Cube defies orders to rescue an innocent mother trapped in one of its rooms.
3964,Open Season: Scared Silly,382517,PG,Animation;Comedy;Family;Adventure,2015,"The humans and animals believe a werewolf is on the loose, and former hunter Shaw uses the opportunity to re-open the season. Boog, Elliot, and Mr. Weenie have to face their fears and find the werewolf to get the season closed permanently."
3965,Drop Zone,4954,R,Action;Thriller,1994,"A daring prison break from an airliner at 30,000 feet leaves U.S. Marshal Pete Nessip mourning a brother and gunning for revenge. After being ordered to turn in his badge, he seeks out Jessie Crossman, a noted skydiver, and offers to sponsor her crew for the annual Independence Day parachuting show in Washington, D.C., if she trains him. Meanwhile, the mastermind behind the mid-air jailbreak is planning a daring computer theft on Independence Day."
3966,True Spirit,739986,PG,Adventure;Drama;History,2023,"When the tenacious young sailor Jessica Watson sets out to be the youngest person to sail solo, nonstop and unassisted around the world, many expect her to fail. With the support of her sailing coach and mentor Ben Bryant and her parents, Jessica is determined to accomplish what was thought to be impossible, navigating some of the world’s most challenging stretches of ocean over the course of 210 days."
3967,Draft Day,200505,PG-13,Drama,2014,"At the NFL Draft, general manager Sonny Weaver has the opportunity to rebuild his team when he trades for the number one pick. He must decide what he's willing to sacrifice on a life-changing day for a few hundred young men with NFL dreams."
3968,The Nut Job,227783,PG,Animation;Comedy;Family;Adventure,2014,"Surly, a curmudgeon, independent squirrel is banished from his park and forced to survive in the city. Lucky for him, he stumbles on the one thing that may be able to save his life, and the rest of park community, as they gear up for winter - Maury's Nut Store."
3969,The Powerpuff Girls Movie,59387,PG,Animation;Action;Family,2002,"Based on the hit animated television series, this feature film adaptation tells the story of how Blossom, Bubbles and Buttercup - three exuberant young girls - obtain their unique powers, become superheroes and join forces to foil evil mutant monkey Mojo Jojo's plan to take over the world."
3970,Escape from L.A.,10061,R,Action;Adventure;Science Fiction;Thriller,1996,Into the 9.6-quaked Los Angeles of 2013 comes Snake Plissken. His job: wade through L.A.'s ruined landmarks to retrieve a doomsday device.
3971,Prep & Landing: Naughty vs. Nice,88096,G,Animation;Comedy;Family,2011,"Lanny and Wayne are at it again! With the Big 2-5 fast approaching, Wayne and Lanny must race to recover classified North Pole technology which has fallen into the hands of a computer-hacking Naughty Kid! Desperate to prevent Christmas from descending into chaos, Wayne seeks out the foremost Naughty Kid expert to aid in the mission: a bombastic member of the Coal Bucket Brigade who also happens to be his estranged brother, Noel."
3972,Disquiet,1072074,R,Horror;Thriller;Mystery,2023,"After a near-fatal car accident, Sam wakes to discover he is trapped in an abandoned hospital by mysterious and sinister forces that have no intention of letting him leave…"
3973,Naked Singularity,624789,R,Crime;Drama,2021,"When a successful New York public defender loses his first case, he is pulled into a drug heist by a former client in an effort to beat the broken system at its own game."
3974,Little Women,9587,PG,Drama;Romance,1994,"With their father away as a chaplain in the Civil War, Jo, Meg, Beth and Amy grow up with their mother in somewhat reduced circumstances. They are a close family who inevitably have their squabbles and tragedies. But the bond holds even when, later, male friends start to become a part of the household."
3975,Free Willy 3: The Rescue,18519,PG,Family;Adventure,1997,"Willy the whale is back, this time threatened by illegal whalers making money off sushi. Jesse, now 16, has taken a job on an orca-researching ship, along with old friend Randolph and a sarcastic scientist, Drew. On the whaler's ship is captain John Wesley and his son, Max, who isn't really pleased about his father's job, but doesn't have the gut to say so. Along the way, Willy reunites with Jesse"
3976,Love the Coopers,333348,PG-13,Drama;Comedy;Family,2015,"When four generations of the Cooper clan come together for their annual Christmas Eve celebration, a series of unexpected visitors and unlikely events turn the night upside down, leading them all toward a surprising rediscovery of family bonds and the spirit of the holiday."
3978,Double Team,9405,R,Action;Science Fiction,1997,"A CIA agent is interned for failing to kill an international terrorist. Escaping from his island exile, he teams up with a flamboyant arms dealer and sets out to find the terrorist and rescue the agent's family. Together they're a two-man arsenal... with enough voltage to rock the free world."
3979,Mighty Aphrodite,11448,R,Comedy;Romance,1995,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy."
3980,No Escape,10447,R,Action;Drama;Science Fiction;Thriller,1994,"In the year 2022, a ruthless prison warden has created the ultimate solution for his most troublesome and violent inmates: Absolom, a secret jungle island where prisoners are abandoned and left to die. But Marine Captain John Robbins, convicted of murdering a commanding officer, is determined to escape the island in order to reveal the truth behind his murderous actions and clear his name."
3981,Working Girl,3525,R,Comedy;Romance;Drama,1988,"Tess McGill is an ambitious secretary with a unique approach for climbing the ladder to success. When her classy, but villainous boss breaks a leg skiing, Tess takes over her office, her apartment and even her wardrobe. She creates a deal with a handsome investment banker that will either take her to the top, or finish her off for good."
3982,Girls Just Want to Have Fun,16263,PG,Comedy;Family;Music;Romance,1985,"Janey is new in town, and soon meets Lynne, who shares her passion for dancing in general, and ""Dance TV"" in particular. When a competition is announced to find a new Dance TV regular couple, Janey and Lynne are determined to audition. The only problem is that Janey's father doesn't approve of that kind of thing."
3983,Never Been Kissed,11355,PG-13,Romance;Comedy;Drama,1999,"Josie Geller, a baby-faced junior copywriter at the Chicago Sun-Times, must pose as a student at her former high school to research contemporary teenage culture. With the help of her brother, Rob, Josie infiltrates the inner circle of the most popular clique on campus. But she hits a major snag in her investigation -- not to mention her own failed love life -- when she falls for her dreamy English teacher, Sam Coulson."
3984,Get Rich or Die Tryin',10060,R,Drama;Crime;Music,2005,"A tale of an inner city drug dealer who turns away from crime to pursue his passion, rap music."
3985,Rogue,13022,R,Action;Horror;Thriller,2007,"When a group of tourists stumble into the remote Australian river territory of an enormous crocodile, the deadly creature traps them on a tiny mud island with the tide quickly rising and darkness descending. As the hungry predator closes in, they must fight for survival against all odds."
3986,The Eye,9030,PG-13,Drama;Horror;Thriller,2008,"Violinist Sydney Wells was accidentally blinded by her sister Helen when she was five years old. She submits to a cornea transplantation, and while recovering from the operation, she realizes that she is seeing dead people."
3987,Space Cowboys,5551,PG-13,Action;Adventure;Thriller,2000,"Frank Corvin, ‘Hawk’ Hawkins, Jerry O'Neill and ‘Tank’ Sullivan were hotdog members of Project Daedalus, the Air Force's test program for space travel, but their hopes were dashed in 1958 with the formation of NASA and the use of trained chimps. They blackmail their way into orbit when Russia's mysterious ‘Ikon’ communications satellite's orbit begins to degrade and threatens to crash to Earth."
3988,Are We There Yet?,11637,PG,Family;Adventure;Comedy;Romance,2005,"The fledgling romance between Nick, a playboy bachelor, and Suzanne, a divorced mother of two, is threatened by a particularly harrowing New Years Eve. When Suzanne's work keeps her in Vancouver for the holiday, Nick offers to bring her kids to the city from Portland, Oregon. The kids, who have never liked any of the men their mom dates, are determined to turn the trip into a nightmare for Nick."
3989,The Eye,9030,PG-13,Drama;Horror;Thriller,2008,"Violinist Sydney Wells was accidentally blinded by her sister Helen when she was five years old. She submits to a cornea transplantation, and while recovering from the operation, she realizes that she is seeing dead people."
3990,Space Cowboys,5551,PG-13,Action;Adventure;Thriller,2000,"Frank Corvin, ‘Hawk’ Hawkins, Jerry O'Neill and ‘Tank’ Sullivan were hotdog members of Project Daedalus, the Air Force's test program for space travel, but their hopes were dashed in 1958 with the formation of NASA and the use of trained chimps. They blackmail their way into orbit when Russia's mysterious ‘Ikon’ communications satellite's orbit begins to degrade and threatens to crash to Earth."
3991,Are We There Yet?,11637,PG,Family;Adventure;Comedy;Romance,2005,"The fledgling romance between Nick, a playboy bachelor, and Suzanne, a divorced mother of two, is threatened by a particularly harrowing New Years Eve. When Suzanne's work keeps her in Vancouver for the holiday, Nick offers to bring her kids to the city from Portland, Oregon. The kids, who have never liked any of the men their mom dates, are determined to turn the trip into a nightmare for Nick."
3992,Black Mirror: Bandersnatch,569547,R,Science Fiction;Mystery;Drama;Thriller;TV Movie,2018,"In 1984, a young programmer begins to question reality as he adapts a dark fantasy novel into a video game. A mind-bending tale with multiple endings."
3993,Happiest Season,520172,PG-13,Romance;Comedy,2020,A young woman's plans to propose to her girlfriend while at her family's annual holiday party are upended when she discovers her partner hasn't yet come out to her conservative parents.
3994,Sgt. Stubby: An American Hero,433694,PG,Animation;Adventure;Family;History;War,2018,The true story of the most decorated dog in American military history -- Sgt. Stubby -- and the enduring bonds he forged with his brothers-in-arms in the trenches of World War I.
3995,Trolls Holiday in Harmony,896221,PG,Animation;Fantasy;Family;Comedy,2021,"Queen Poppy plans the first annual Trolls Kingdom Secret Holiday Gift Swap, but things don't go quite as expected."
3996,Quest for Camelot,18937,G,Fantasy;Animation;Drama;Romance;Family,1998,"During the times of King Arthur, Kayley is a brave girl who dreams of following her late father as a Knight of the Round Table. The evil Ruber wants to invade Camelot and take the throne of King Arthur, and Kayley has to stop him."
3997,Major Payne,11008,PG-13,Adventure;Comedy;Family,1995,"Major Benson Winifred Payne is being discharged from the Marines. Payne is a killin' machine, but the wars of the world are no longer fought on the battlefield. A career Marine, he has no idea what to do as a civilian, so his commander finds him a job - commanding officer of a local school's JROTC program, a bunch of ragtag losers with no hope."
3998,Wicked Minds,153104,PG-13,Mystery;Drama;Romance;Thriller,2003,Holden returns home from college and is surprised to find his overpowering competitive father married to a much younger woman Lana. Holden quickly falls for the beauty and charisma of his step mother. A passionate affair begins between son and stepmother.
4000,Lou,429473,R,Action;Thriller,2022,A young girl is kidnapped during a powerful storm. Her mother joins forces with her mysterious neighbour to set off in pursuit of the kidnapper. Their journey will test their limits and expose the dark secrets of their past.
4001,Crimes of the Future,819876,R,Science Fiction;Horror;Drama,2022,"With his partner, a celebrity performance artist publicly showcases the metamorphosis of his organs in avant-garde performances. An investigator from the National Organ Registry obsessively tracks their movements, which is when a mysterious group is revealed... Their mission — to use the artist's notoriety to shed light on the next phase of human evolution."
4002,The Crazies,29427,R,Mystery;Horror;Action,2010,Four friends find themselves trapped in their small hometown after they discover their friends and neighbors going quickly and horrifically insane.
4004,The Last Exorcism Part II,146203,PG-13,Horror;Thriller,2013,"As Nell Sweetzer tries to build a new life, the evil force that once possessed her returns with an even more horrific plan."
4005,The Doors,10537,R,Music;Drama;History,1991,"The story of the famous and influential 1960s rock band and its lead singer and composer, Jim Morrison."
4006,The Florida Project,394117,R,Drama,2017,"The story of a precocious six year-old and her ragtag group of friends whose summer break is filled with childhood wonder, possibility and a sense of adventure while the adults around them struggle with hard times."
4007,Friday After Next,10426,R,Comedy,2002,"Craig and his cousin Day Day have finally moved out of their parents' houses and into their own crib, working nights at a local mall as security guards. When their house is robbed on Christmas Eve they set out to track down the culprit."
4008,"Planes, Trains and Automobiles",2609,R,Comedy,1987,"An irritable marketing executive, Neal Page, is heading home to Chicago for Thanksgiving when a number of delays force him to travel with a well meaning but overbearing shower curtain ring salesman, Del Griffith."
4009,Sky Captain and the World of Tomorrow,5137,PG,Mystery;Action;Thriller;Science Fiction;Adventure,2004,"When gigantic robots attack New York City, ""Sky Captain"" uses his private air force to fight them off. His ex-girlfriend, reporter Polly Perkins, has been investigating the recent disappearance of prominent scientists. Suspecting a link between the global robot attacks and missing men, Sky Captain and Polly decide to work together. They fly to the Himalayas in pursuit of the mysterious Dr. Totenkopf, the mastermind behind the robots."
4010,White Fang,12227,PG,Action;Adventure;Drama;Family,1991,Jack London's classic adventure story about the friendship developed between a Yukon gold hunter and the mixed dog-wolf he rescues from the hands of a man who mistreats him.
4011,Trauma Center,641790,R,Action;Thriller,2019,"Lt. Wakes is a vengeful police detective determined to solve the murders of his partner and an informant, and joins forces with a witness injured during the shootings. After the killers pursue the witness across the abandoned floor of a hospital, she confirms Wakes's worst fears."
4013,Queen of the Damned,11979,R,Fantasy;Horror;Romance,2002,"Lestat finds acceptance in a tattooed and pierced world, rekindling the desires of all-powerful Akasha."
4014,Tinker Tailor Soldier Spy,49517,R,Drama;Thriller;Mystery,2011,"In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet mole within his former colleagues at the heart of MI6."
4015,Tremors 4: The Legend Begins,10891,PG-13,Action;Comedy;Horror;Western,2004,"In 1889, seventeen men die under mysterious circumstances, and spooked by recent events, the miners who populate the town leave in droves until there's nothing left but a shell of a community."
4016,Einstein and the Bomb,1168709,PG-13,Documentary;Drama,2024,"What happened after Einstein fled Nazi Germany? Using archival footage and his own words, this docudrama dives into the mind of a tortured genius."
4017,Due Date,41733,R,Comedy;Drama,2010,"Peter Highman must scramble across the US in five days to be present for the birth of his first child. He gets off to a bad start when his wallet and luggage are stolen, and put on the 'no-fly' list. Peter embarks on a terrifying journey when he accepts a ride from an actor."
4018,Hotel Rwanda,205,PG-13,Drama;History;War,2004,"Inspired by true events, this film takes place in Rwanda in the 1990s when more than a million Tutsis were killed in a genocide that went mostly unnoticed by the rest of the world. Hotel owner Paul Rusesabagina houses over a thousand refuges in his hotel in attempt to save their lives."
4019,Poetic Justice,8291,R,Drama;Romance,1993,"Still grieving after the murder of her boyfriend, hairdresser Justice writes poetry to deal with the pain of her loss. Unable to get to Oakland to attend a convention because of her broken-down car, Justice gets a lift with her friend, Iesha, and Iesha's postal worker boyfriend, Chicago. Along for the ride is Chicago's co-worker, Lucky, to whom Justice grows close after some initial problems. But is she ready to open her heart again?"
4020,Chasing Liberty,14844,PG-13,Comedy;Romance,2004,"The President's daughter, unable to experience life like a normal 18 year-old, escapes from her entourage of Secret Service agents while traveling in Europe. She falls in love with a handsome British stranger, who also happens to be working undercover for her father."
4021,Black Snake Moan,7874,R,Drama,2006,"A God-fearing bluesman takes to a wild young woman who, as a victim of childhood sexual abuse, is looking everywhere for love, but never quite finding it."
4022,Curious George 2: Follow That Monkey!,23903,G,Animation;Family,2009,"The film chronicles George's adventures as he befriends Kayla, a baby elephant, at a magic circus show and helps her travel across the country to be reunited with her family.Accompanied by his friend, the Man with the Yellow Hat, George travels by foot, train, and truck to reach Kayla's brother and sister in California, only to be accused of elephant-napping and brought all the way back to New York."
4023,The Soccer Football Movie,1037858,PG,Animation;Comedy;Family,2022,"When mysterious green slime monsters start popping out of soccer balls, all-star athletes Zlatan Ibrahimović and Megan Rapinoe must team up with their four biggest fans to stop evil scientist ""Weird Al"" Yankovic from stealing their talent."
4025,Hide and Seek,11096,R,Horror;Mystery,2005,"David Callaway tries to piece together his life in the wake of his wife's suicide and has been left to raise his nine-year-old daughter, Emily on his own. David is at first amused to discover that Emily has created an imaginary friend named 'Charlie', but it isn't long before 'Charlie' develops a sinister and violent side, and as David struggles with his daughter's growing emotional problems, he comes to the frightening realisation that 'Charlie' isn't just a figment of Emily's imagination."
4026,Unsane,467660,R,Horror;Thriller,2018,A woman is involuntarily committed to a mental institution where she is confronted by her greatest fear.
4027,Burnt,295964,R,Drama,2015,"Adam Jones is a Chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars."
4029,Van Wilder: Freshman Year,19824,R,Comedy;Romance,2009,"It is freshman year at Coolidge College and Van Wilder is ready to party. To his dismay, all the girls have taken a vow of chastity and the dean rules the school. Van embarks on a crusade to land the campus hottie, Kaitlin, and liberate his school from sexual oppression and party dysfunction."
4030,The Nativity Story,2447,PG,Drama,2006,"Mary and Joseph make the hard journey to Bethlehem for a blessed event in this retelling of the Nativity story. This meticulously researched and visually lush adaptation of the biblical tale follows the pair on their arduous path to their arrival in a small village, where they find shelter in a quiet manger and Jesus is born."
4031,Three Kings,6415,R,Action;Comedy;War,1999,"A group of American soldiers stationed in Iraq at the end of the Gulf War find a map they believe will take them to a huge cache of stolen Kuwaiti gold hidden near their base, and they embark on a secret mission that's destined to change everything."
4032,Exposed,331962,R,Drama;Crime;Thriller;Mystery,2016,"After witnessing a miracle, a young Latina woman experiences strange things as a police detective searches for the truth behind his partner's death."
4034,"tick, tick... BOOM!",537116,PG-13,Drama;Music,2021,"On the brink of turning 30, a promising theater composer navigates love, friendship and the pressure to create something great before time runs out."
4035,Barbie in 'A Christmas Carol',13459,G,Animation;Family,2008,"On Christmas Eve, Kelly is reluctant to go to a Christmas Eve ball, so Barbie tells her the story of Eden Starling, a glamorous singing diva in the Victorian England and the owner of a theatre house. However, Eden is self-centered and loves only herself. She is frequently accompanied by her snooty cat, Chuzzlewit. She does not believe in Christmas and orders all her employees to work on Christmas."
4036,Megalodon,523931,PG-13,Action;Science Fiction;Horror;TV Movie,2018,"A military vessel on the search for an unidentified submersible finds themselves face to face with a giant shark, forced to use only what they have on board to defend themselves from the monstrous beast."
4037,*batteries not included,11548,PG,Family;Comedy;Fantasy;Science Fiction,1987,"In a soon to be demolished block of apartments, the residents resist the criminal methods used to force them to leave so a greedy tycoon can build his new skyscraper. When tiny mechanical aliens land for a recharge, they decide to stay and help out."
4039,The Seventh Sign,11082,R,Horror;Drama;Thriller,1988,"Abby is a pregnant woman with a curious new boarder in the apartment over her garage. Turns out he's heaven-sent and is speeding along the Apocalypse by bloodying rivers, egging on plagues and following scripture word for word."
4040,Transformers: Revenge of the Fallen,8373,PG-13,Science Fiction;Action;Adventure,2009,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war."
4041,18 Year Old Virgin,14912,R,Comedy,2009,"In a series of sexual mishaps, a high school senior tries to lose her virginity on the last night before graduation."
4042,Quasi,893752,R,Comedy;Drama,2023,"A hapless hunchback who only yearns for love, finds himself in the middle of a murderous feud between the Pope and the King of France when each orders the hunchback to kill the other."
4044,Secondhand Lions,13156,PG,Family;Comedy,2003,"The comedic adventures of an introverted boy left on the doorstep of a pair of reluctant, eccentric great-uncles, whose exotic remembrances stir the boy's spirit and re-ignite the men's lives."
4045,Mystic Pizza,11191,R,Comedy;Drama;Romance,1988,"Three teenage girls come of age while working at a pizza parlor in Mystic, Connecticut."
4046,Batman: The Killing Joke,382322,R,Action;Animation;Crime;Drama,2016,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness."
4047,Shanghai Noon,8584,PG-13,Adventure;Action;Comedy;Western,2000,"Chon Wang, a clumsy imperial guard trails Princess Pei Pei when she is kidnapped from the Forbidden City and transported to America. Wang follows her captors to Nevada, where he teams up with an unlikely partner, outcast outlaw Roy O'Bannon, and tries to spring the princess from her imprisonment."
4048,Another Earth,55420,PG-13,Drama;Science Fiction,2011,"On the night of the discovery of a duplicate Earth in the Solar system, an ambitious young student and an accomplished composer cross paths in a tragic accident."
4049,Silverado,11509,PG-13,Western;Action,1985,"Four unwitting heroes cross paths on their journey to the sleepy town of Silverado. Little do they know the town where their family and friends reside has been taken over by a corrupt sheriff and a murderous posse. It's up to the sharp-shooting foursome to save the day, but first they have to break each other out of jail, and learn who their real friends are."
4050,Barbie Mariposa & the Fairy Princess,196254,G,Animation;Family;Fantasy,2013,"Mariposa becomes the Royal Ambassador of Flutterfield, and is sent to bring peace between her fairy land and their rivals, the Crystal Fairies of Shimmervale. While Mariposa doesn't make a great first impression on  the King, she becomes fast friends with his shy daughter, Princess Catania. However, a misunderstanding causes Mariposa to be banished from their fairy land. As Mariposa and Zee returns to Flutterfield, they encounter a dark fairy on her way to destroy Shimmervale. Mariposa rushes back and helps Princess Catania to save their fairy land and together, the two girls prove that the best way to make a friend, is to be a friend."
4051,Masters of the Universe,11649,PG,Action;Fantasy;Science Fiction;Adventure;Thriller,1987,"The world of Eternia in the aftermath of Skeletor's war on Castle Grayskull, which he has won after seizing Grayskull and the surrounding city using a cosmic key developed by the locksmith Gwildor. The Sorceress is now Skeletor's prisoner and he begins to drain her life-force as he waits for the moon of Eternia to align with the Great Eye of the Universe that will bestow god-like power upon him."
4052,The Santa Clause,11395,PG,Fantasy;Drama;Comedy;Family,1994,"On Christmas Eve, divorced dad Scott Calvin and his son discover Santa Claus has fallen off their roof. When Scott takes the reins of the magical sleigh, he finds he is now the new Santa, and must convince a world of disbelievers, including himself."
4053,Barbie Presents: Thumbelina,16418,G,Animation;Family,2009,"Meet a tiny girl named Thumbelina who lives in harmony with nature in the magical world of the Twillerbees that's hidden among the wildflowers. At the whim of a spoiled young girl named Makena, Thumbelina and her two friends have their patch of wildflowers uprooted and are transported to a lavish apartment in the city."
4055,Patch Adams,10312,PG-13,Comedy;Drama,1998,"The true story of Dr. Hunter ""Patch"" Adams, who in the 1970s found that humor is the best medicine, and was willing to do just anything to make his patients laugh—even if it meant risking his own career."
4056,Backdraft,2924,R,Drama;Thriller;Action;Crime,1991,Firemen brothers Brian and Stephen McCaffrey battle each other over past slights while trying to stop an arsonist with a diabolical agenda from torching Chicago.
4057,Red Lights,75638,R,Thriller,2012,"Two investigators of paranormal hoaxes, the veteran Dr. Margaret Matheson and her young assistant, Tom Buckley, study the most varied metaphysical phenomena with the aim of proving their fraudulent origins. Simon Silver, a legendary blind psychic, reappears after an enigmatic absence of 30 years to become the greatest international challenge to both orthodox science and professional sceptics. Tom starts to develop an intense obsession with Silver, whose magnetism becomes stronger with each new manifestation of inexplicable events. As Tom gets closer to Silver, tension mounts, and his worldview is threatened to its core."
4058,Marley & Me,14306,PG,Comedy;Family,2008,"A newly married couple, in the process of starting a family, learn many of life's important lessons from their trouble-loving retriever, Marley. Packed with plenty of laughs to lighten the load, the film explores the highs and lows of marriage, maturity and confronting one's own mortality, as seen through the lens of family life with a dog."
4059,Monster High: 13 Wishes,212470,G,Family;Fantasy;Animation,2013,"It’s a new school year at Monster High™, and the little sister of Clawdeen Wolf™, Howleen, is determined to be more fangtastic than ever.  Her dream of popularity turns out to be easier than anyone imagined when she stumbles upon a genie named Gigi Grant™ who grants her not 3, but 13 Wishes!  But the ghouls quickly learn to be s-careful what you wish for because each wish comes with a dark side, and soon the student disem-body of Monster High™ is turned upside-down!  Join Frankie Stein™, Clawdeen Wolf™, Draculaura™ and the rest of their creeperiffic ghoulfriends as they journey deep inside the magic lantern to save the very soul of Monster High™… while flashing their killer style every step of the way!"
4060,Renegades,913604,R,Action;Crime;Thriller,2022,"When a retired Green Beret soldier is murdered by an Albanian drug gang in London, four of his veteran SAS comrades set out to avenge him, dispensing their own brand of justice on the streets of London."
4061,Kill Bill: The Whole Bloody Affair,414419,R,Action;Crime;Thriller,2011,"An assassin is shot and almost killed by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.  Kill Bill: The Whole Bloody Affair is a complete edit of the two-part martial arts action films Kill Bill: Vol. 1 and Kill Bill: Vol. 2. The film was originally scheduled to be released as one part. However, due to the film's over 4 hour running time, it was split into two parts."
4062,Persuasion,820912,PG,Romance;Drama;Comedy,2022,"Living with her snobby family on the brink of bankruptcy, Anne Elliot is an unconforming woman with modern sensibilities. When Frederick Wentworth - the dashing one she once sent away - crashes back into her life, Anne must choose between putting the past behind her or listening to her heart when it comes to second chances."
4063,16 Blocks,2207,PG-13,Action;Adventure;Crime;Thriller,2006,"An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse, but they find themselves running the gauntlet as other forces try to prevent them from getting there."
4064,A Perfect Murder,1965,R,Crime;Thriller;Drama,1998,"Millionaire industrialist Steven Taylor is a man who has everything but what he craves most: the love and fidelity of his wife. A hugely successful player in the New York financial world, he considers her to be his most treasured acquisition. But she needs more than simply the role of dazzling accessory."
4065,Bastille Day,333669,R,Action,2016,"Michael Mason is an American pickpocket living in Paris who finds himself hunted by the CIA when he steals a bag that contains more than just a wallet. Sean Briar, the field agent on the case, soon realises that Michael is just a pawn in a much bigger game and is also his best asset to uncover a large-scale conspiracy."
4066,Horns,149509,R,Drama;Fantasy;Thriller,2013,"In the aftermath of his girlfriend's mysterious death, a young man awakens to strange horns sprouting from his temples."
4067,Bad Times at the El Royale,446021,R,Thriller;Mystery;Crime,2018,"Lake Tahoe, 1969. Seven strangers, each one with a secret to bury, meet at El Royale, a decadent motel with a dark past. In the course of a fateful night, everyone will have one last shot at redemption."
4068,Barbie: The Princess & The Popstar,129533,G,Family;Animation,2012,"Tori is a blonde princess who is bored of living her royal life, and has dreams of becoming a popstar. Keira, on the other hand, is a brunette popstar who dreams of being a princess. When the two meet, they magically trade places, but after realising it is best to be themselves."
4069,Gothika,4970,R,Horror;Thriller;Mystery,2003,"After a car crash, criminal psychologist Dr. Miranda Grey regains consciousness only to find that she's a patient in the same mental institution that currently employs her. She's been accused of murdering her husband Dr. Douglas Grey —but she has no memory of committing the crime. As she tries to regain her memory and convince her co-worker, Dr. Pete Graham, of her innocence, a vengeful spirit uses her as an earthly pawn, which further convinces everyone of her guilt."
4070,Strange Days,281,R,Crime;Drama;Science Fiction;Thriller,1995,"Former policeman Lenny Nero has moved into a more lucrative trade: the illegal sale of virtual reality-like recordings that allow users to experience the emotions and past experiences of others. While they typically contain tawdry incidents, Nero is shocked when he receives one showing a murder."
4072,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,496,R,Comedy,2006,"Kazakh journalist Borat Sagdiyev travels to America to make a documentary. As he zigzags across the nation, Borat meets real people in real situations with hysterical consequences. His backwards behavior generates strong reactions around him exposing prejudices and hypocrisies in American culture."
4073,Nine Lives,322240,PG,Fantasy;Comedy;Family,2016,A stuffy businessman finds himself trapped inside the body of his family's cat.
4075,Tom and Jerry: The Movie,22582,G,Animation;Comedy;Family;Music,1992,The popular cartoon cat and mouse are thrown into a feature film. The story has the twosome trying to help an orphan girl who is being berated and exploited by a greedy guardian.
4076,The Young and Prodigious T.S. Spivet,157841,PG,Adventure;Drama;Family,2013,A 10-year-old child prodigy cartographer secretly leaves his family's ranch in Montana where he lives with his cowboy father and scientist mother and travels across the country on board a freight train to receive an award at the Smithsonian Institute.
4077,Bad Lieutenant: Port of Call - New Orleans,11699,R,Drama;Crime,2009,"Terrence McDonagh is a New Orleans Police sergeant, who recieves a medal and a promotion to lieutenant for heroism during Hurricane Katrina. Due to his heroic act, McDonagh injures his back and becomes addicted to prescription pain medication. He then finds himself involved with a drug dealer who is suspected of murdering a family of African immigrants."
4078,The Kitchen,487680,PG-13,Action;Crime;Drama,2019,"The mobster husbands of three 1978 Hell's Kitchen housewives are sent to prison by the FBI. Left with little but a sharp ax to grind, the ladies take the Irish mafia's matters into their own hands — proving unexpectedly adept at everything from running the rackets to taking out the competition… literally."
4079,An American Werewolf in Paris,9406,R,Horror;Comedy;Fantasy,1997,An American man unwittingly gets involved with werewolves who have developed a serum allowing them to transform at will.
4080,The Kitchen,487680,PG-13,Action;Crime;Drama,2019,"The mobster husbands of three 1978 Hell's Kitchen housewives are sent to prison by the FBI. Left with little but a sharp ax to grind, the ladies take the Irish mafia's matters into their own hands — proving unexpectedly adept at everything from running the rackets to taking out the competition… literally."
4081,An American Werewolf in Paris,9406,R,Horror;Comedy;Fantasy,1997,An American man unwittingly gets involved with werewolves who have developed a serum allowing them to transform at will.
4082,Barely Lethal,248574,PG-13,Action;Comedy;Adventure;Romance,2015,"A 16-year-old international assassin yearning for a ""normal"" adolescence fakes her own death and enrolls as a senior in a suburban high school. She quickly learns that being popular can be more painful than getting water-boarded."
4083,Gia,14533,R,Romance;Drama,1998,Gia Carangi meteorically rises to modeling fame in the late 1970s but becomes overconsumed by persistent loneliness and drug addiction.
4084,Billy Lynn's Long Halftime Walk,293767,R,Drama;War,2016,19-year-old Billy Lynn is brought home for a victory tour after a harrowing Iraq battle. Through flashbacks the film shows what really happened to his squad – contrasting the realities of war with America's perceptions.
